division,name,area,perimeter
18,grange-neuve,568286.1264648438,2944.5156628489353
17,la sallaz,1989294.255859375,6724.007418762246
16,chailly,2436997.1813964844,7073.646706015548
15,ouchy,6444723.820068359,12641.863931971497
14,barre,44075.977783203125,1031.7739650935207
13,cite derriere,38524.51123046875,763.7108219086887
12,cite dessous,34376.814697265625,725.2061204238784
11,palud,14163.451416015625,546.0787853137307
10,ale,37988.86572265625,746.3249768722344
9,st laurent,26994.397705078125,687.5606660282697
8,grand st jean,22216.212890625,619.9843310880699
7,montee de st laurent,12413.55029296875,437.10192413427825
6,montee st francois,16866.91943359375,603.7860376865492
5,rue du pre,9749.579833984375,496.01583878265296
4,place st francois,73519.44750976562,1076.5289687008192
3,bourg,30742.01025390625,692.4399486870433
2,chenneau de bourg,13174.86279296875,638.0287750547493
1,marterey,77727.830078125,1074.8912495232214
