Origine_category,Job_category,Weight
Vaud,?,22
Vaud,administration,35
Vaud,agricole,283
Vaud,artisanat,359
Vaud,commerce,91
Vaud,construction,162
Vaud,rente,172
Vaud,service,234
Suisse_Allemande,?,8
Suisse_Allemande,administration,2
Suisse_Allemande,agricole,47
Suisse_Allemande,artisanat,56
Suisse_Allemande,commerce,19
Suisse_Allemande,construction,37
Suisse_Allemande,rente,19
Suisse_Allemande,service,30
Villette,administration,1
Villette,agricole,25
Villette,artisanat,7
Villette,commerce,1
Villette,construction,5
Villette,rente,8
Villette,service,7
Romandie,?,2
Romandie,administration,1
Romandie,agricole,9
Romandie,artisanat,7
Romandie,commerce,2
Romandie,construction,10
Romandie,rente,10
Romandie,service,10
Epalinges,?,1
Epalinges,administration,1
Epalinges,agricole,25
Epalinges,artisanat,5
Epalinges,construction,14
Epalinges,rente,3
Epalinges,service,11
France,?,1
France,administration,1
France,agricole,19
France,artisanat,23
France,commerce,9
France,construction,5
France,rente,25
France,service,16
Lutry,?,6
Lutry,agricole,25
Lutry,artisanat,16
Lutry,commerce,6
Lutry,construction,20
Lutry,rente,6
Lutry,service,15
Angleterre,administration,1
Angleterre,agricole,2
Angleterre,artisanat,1
Angleterre,rente,23
Angleterre,service,2
Lausanne,?,2
Lausanne,agricole,26
Lausanne,artisanat,19
Lausanne,commerce,4
Lausanne,construction,10
Lausanne,rente,6
Lausanne,service,10
Allemagne,artisanat,2
Allemagne,construction,1
Monde,agricole,1
Monde,construction,2
Monde,service,2
