Id,Label,Type,Size
ale,ale,road,1
barre,barre,road,1
bourg,bourg,road,1
calvaire,calvaire,road,1
chailly,chailly,road,1
chaucrau,chaucrau,road,1
chauderon,chauderon,road,1
chavannes,chavannes,road,1
cheneau de bourg,cheneau de bourg,road,1
cite derriere,cite derriere,road,1
cite dessous,cite dessous,road,1
cite devant,cite devant,road,1
cour,cour,road,1
derriere les terreaux,derriere les terreaux,road,1
escaliers du marche,escaliers du marche,road,1
etraz,etraz,road,1
grand chene,grand chene,road,1
grand st jean,grand st jean,road,1
grange-neuve,grange-neuve,road,1
grotte,grotte,road,1
la sallaz,la sallaz,road,1
madeleine,madeleine,road,1
marterey,marterey,road,1
maupas,maupas,road,1
mercerie,mercerie,road,1
montee de st laurent,montee de st laurent,road,1
montee st francois,montee st francois,road,1
moulin de pepinet,moulin de pepinet,road,1
ouchy,ouchy,road,1
palud,palud,road,1
petit chene,petit chene,road,1
petit singe,petit singe,road,1
petit st jean,petit st jean,road,1
place du pont,place du pont,road,1
place st francois,place st francois,road,1
rue de l'hopital,rue de l'hopital,road,1
rue du pont,rue du pont,road,1
rue du pre,rue du pre,road,1
st etienne,st etienne,road,1
st francois,st francois,road,1
st laurent,st laurent,road,1
st pierre,st pierre,road,1
vennes,vennes,road,1
agriculteur,agriculteur,vocation,28
aubergiste,aubergiste,vocation,15
boulanger,boulanger,vocation,32
carrier,carrier,vocation,15
charpentier,charpentier,vocation,71
charron,charron,vocation,12
cordonnier,cordonnier,vocation,102
couturiere,couturiere,vocation,18
ecrivain,ecrivain,vocation,14
fileuse,fileuse,vocation,15
garde police,garde police,vocation,28
gypseur/gypsier,gypseur/gypsier,vocation,19
huissier,huissier,vocation,9
jardinier,jardinier,vocation,43
journalier,journalier,vocation,163
journaliere,journaliere,vocation,77
juge d'appel,juge d'appel,vocation,9
laboureur,laboureur,vocation,32
laitier,laitier,vocation,14
lessiveuse,lessiveuse,vocation,14
macon,macon,vocation,44
manœuvre,manœuvre,vocation,27
marchand,marchand,vocation,59
marchande,marchande,vocation,58
marechal-ferrant,marechal-ferrant,vocation,16
menuisier,menuisier,vocation,83
ouvriere,ouvriere,vocation,15
rentiere,rentiere,vocation,209
repasseuse,repasseuse,vocation,12
sans vocation,sans vocation,vocation,27
sellier,sellier,vocation,14
serrurier,serrurier,vocation,25
tailleur de pierres,tailleur de pierres,vocation,20
tailleuse,tailleuse,vocation,55
tisserand,tisserand,vocation,17
traiteur,traiteur,vocation,19
vigneron,vigneron,vocation,100
voiturier,voiturier,vocation,41
couvreur,couvreur,vocation,15
fermier,fermier,vocation,15
instituteur,instituteur,vocation,18
lingere,lingere,vocation,55
medecin,medecin,vocation,13
meunier,meunier,vocation,14
ministre,ministre,vocation,13
professeur,professeur,vocation,10
rentier,rentier,vocation,109
tonnelier,tonnelier,vocation,19
vendeur de vin,vendeur de vin,vocation,16
avocat,avocat,vocation,17
blanchisseuse,blanchisseuse,vocation,17
domestique,domestique,vocation,16
ferblantier,ferblantier,vocation,10
garde-malade,garde-malade,vocation,10
institutrice,institutrice,vocation,14
libraire,libraire,vocation,10
negociant,negociant,vocation,57
tailleur,tailleur,vocation,53
proprietaire,proprietaire,vocation,68
femme de menage,femme de menage,vocation,15
courtepointiere,courtepointiere,vocation,10
imprimeur,imprimeur,vocation,17
tanneur,tanneur,vocation,17
tient pension,tient pension,vocation,11
pintier,pintier,vocation,14
chapelier,chapelier,vocation,14
sage-femme,sage-femme,vocation,11
fondeur,fondeur,vocation,10
boucher,boucher,vocation,12
