division,origine_category,Weight
place_st_francois,aigle,2
place_st_francois,angleterre,6
place_st_francois,aubonne,1
place_st_francois,cossonay,8
place_st_francois,echallens,2
place_st_francois,france,18
place_st_francois,geneve,1
place_st_francois,italie,1
place_st_francois,la_vallee,4
place_st_francois,lausanne,50
place_st_francois,lavaux,8
place_st_francois,morges,9
place_st_francois,moudon,4
place_st_francois,nyon,4
place_st_francois,orbe,2
place_st_francois,oron,1
place_st_francois,pays_d_enhaut,3
place_st_francois,rolle,1
place_st_francois,suisse_allemande,8
place_st_francois,vevey,7
place_st_francois,yverdon,1
montee_st_francois,aigle,1
montee_st_francois,cossonay,5
montee_st_francois,echallens,4
montee_st_francois,france,1
montee_st_francois,la_vallee,3
montee_st_francois,lausanne,31
montee_st_francois,lavaux,7
montee_st_francois,morges,10
montee_st_francois,moudon,2
montee_st_francois,neuchatel,1
montee_st_francois,nyon,4
montee_st_francois,orbe,2
montee_st_francois,oron,1
montee_st_francois,pays_d_enhaut,3
montee_st_francois,suisse_allemande,10
montee_st_francois,vaud,2
montee_st_francois,vevey,6
montee_st_francois,yverdon,3
montee_de_st_laurent,aigle,3
montee_de_st_laurent,aubonne,2
montee_de_st_laurent,cossonay,6
montee_de_st_laurent,echallens,2
montee_de_st_laurent,france,5
montee_de_st_laurent,la_vallee,2
montee_de_st_laurent,lausanne,20
montee_de_st_laurent,lavaux,1
montee_de_st_laurent,morges,4
montee_de_st_laurent,moudon,5
montee_de_st_laurent,neuchatel,1
montee_de_st_laurent,nyon,4
montee_de_st_laurent,orbe,3
montee_de_st_laurent,oron,2
montee_de_st_laurent,payerne,2
montee_de_st_laurent,pays_d_enhaut,3
montee_de_st_laurent,suisse_allemande,1
montee_de_st_laurent,vevey,1
montee_de_st_laurent,yverdon,2
grand_st_jean,aigle,2
grand_st_jean,angleterre,1
grand_st_jean,aubonne,2
grand_st_jean,avenches,1
grand_st_jean,cossonay,4
grand_st_jean,echallens,4
grand_st_jean,france,8
grand_st_jean,fribourg,1
grand_st_jean,geneve,4
grand_st_jean,la_vallee,3
grand_st_jean,lausanne,81
grand_st_jean,lavaux,10
grand_st_jean,morges,26
grand_st_jean,moudon,12
grand_st_jean,neuchatel,2
grand_st_jean,nyon,7
grand_st_jean,orbe,10
grand_st_jean,oron,7
grand_st_jean,payerne,2
grand_st_jean,pays_d_enhaut,8
grand_st_jean,rolle,2
grand_st_jean,suisse_allemande,12
grand_st_jean,vaud,2
grand_st_jean,vevey,6
grand_st_jean,yverdon,10
chailly,cossonay,1
chailly,echallens,1
chailly,france,5
chailly,fribourg,3
chailly,la_vallee,1
chailly,lausanne,27
chailly,lavaux,2
chailly,morges,3
chailly,moudon,1
chailly,orbe,1
chailly,oron,4
chailly,payerne,1
chailly,suisse_allemande,5
chailly,yverdon,5
cite_derriere,aigle,6
cite_derriere,angleterre,2
cite_derriere,aubonne,5
cite_derriere,avenches,3
cite_derriere,cossonay,4
cite_derriere,france,1
cite_derriere,fribourg,2
cite_derriere,italie,2
cite_derriere,la_vallee,9
cite_derriere,lausanne,70
cite_derriere,lavaux,10
cite_derriere,morges,3
cite_derriere,moudon,9
cite_derriere,neuchatel,1
cite_derriere,orbe,7
cite_derriere,oron,2
cite_derriere,pays_d_enhaut,8
cite_derriere,rolle,2
cite_derriere,suisse_allemande,17
cite_derriere,vaud,2
cite_derriere,vevey,4
cite_derriere,yverdon,12
bourg,aigle,2
bourg,angleterre,4
bourg,aubonne,1
bourg,cossonay,5
bourg,echallens,1
bourg,france,16
bourg,fribourg,1
bourg,geneve,2
bourg,la_vallee,3
bourg,lausanne,49
bourg,lavaux,7
bourg,morges,13
bourg,moudon,2
bourg,neuchatel,1
bourg,nyon,4
bourg,orbe,6
bourg,oron,4
bourg,pays_d_enhaut,2
bourg,rolle,4
bourg,suisse_allemande,15
bourg,vaud,2
bourg,vevey,4
bourg,yverdon,2
barre,angleterre,1
barre,aubonne,5
barre,cossonay,5
barre,echallens,5
barre,france,4
barre,fribourg,2
barre,grandson,2
barre,italie,2
barre,la_vallee,5
barre,lausanne,51
barre,lavaux,10
