street,origine_category,Weight
gottettaz,cossonay,1
gottettaz,morges,1
gottettaz,orbe,1
gottettaz,oron,1
gottettaz,suisse_allemande,1
place de st laurent,aubonne,1
place de st laurent,cossonay,3
place de st laurent,echallens,2
place de st laurent,france,1
place de st laurent,fribourg,1
place de st laurent,grandson,1
place de st laurent,la_vallee,1
place de st laurent,lausanne,35
place de st laurent,lavaux,9
place de st laurent,morges,8
place de st laurent,moudon,2
place de st laurent,neuchatel,1
place de st laurent,nyon,2
place de st laurent,orbe,1
place de st laurent,oron,7
place de st laurent,payerne,1
place de st laurent,pays_d_enhaut,5
place de st laurent,rolle,1
place de st laurent,suisse_allemande,8
place de st laurent,vaud,4
place de st laurent,vevey,4
place de st laurent,yverdon,4
cour,angleterre,3
cour,cossonay,2
cour,france,2
cour,geneve,2
cour,la_vallee,2
cour,lausanne,18
cour,lavaux,11
cour,morges,1
cour,moudon,1
cour,oron,3
cour,payerne,1
cour,vevey,2
cour,yverdon,1
rue de st pierre,aigle,1
rue de st pierre,angleterre,4
rue de st pierre,aubonne,4
rue de st pierre,avenches,1
rue de st pierre,cossonay,1
rue de st pierre,echallens,3
rue de st pierre,france,4
rue de st pierre,grandson,1
rue de st pierre,italie,1
rue de st pierre,la_vallee,1
rue de st pierre,lausanne,34
rue de st pierre,lavaux,14
rue de st pierre,morges,5
rue de st pierre,moudon,5
rue de st pierre,nyon,4
rue de st pierre,orbe,3
rue de st pierre,oron,2
rue de st pierre,pays_d_enhaut,6
rue de st pierre,rolle,2
rue de st pierre,suisse_allemande,13
rue de st pierre,vevey,10
rue de st pierre,yverdon,1
montee de st laurent,aigle,3
montee de st laurent,aubonne,2
montee de st laurent,cossonay,6
montee de st laurent,echallens,2
montee de st laurent,france,5
montee de st laurent,la_vallee,2
montee de st laurent,lausanne,21
montee de st laurent,lavaux,1
montee de st laurent,morges,4
montee de st laurent,moudon,5
montee de st laurent,neuchatel,1
montee de st laurent,nyon,4
montee de st laurent,orbe,4
montee de st laurent,oron,2
montee de st laurent,payerne,2
montee de st laurent,pays_d_enhaut,4
montee de st laurent,suisse_allemande,1
montee de st laurent,vevey,1
montee de st laurent,yverdon,2
