street,job,Weight
gottettaz,jardinier,3
gottettaz,journalier,2
mercerie,cordonnier,9
mercerie,couvreur,2
mercerie,instituteur,2
mercerie,journalier,4
mercerie,marchand,2
mercerie,menuisier,4
mercerie,ouvrier,4
mercerie,petite marchande,2
mercerie,rentier,4
mercerie,tailleur,4
mercerie,tient pension,2
bugnon,charpentier,2
bugnon,manoeuvre,2
derriere les terreaux,charpentier,2
derriere les terreaux,rentier,5
paleyres,vigneron,2
montee de st laurent,boulanger,2
montee de st laurent,cordonnier,2
montee de st laurent,couturiere,2
montee de st laurent,ferblantier,2
montee de st laurent,garde,3
montee de st laurent,journalier,9
montee de st laurent,juge,2
montee de st laurent,laitier,2
montee de st laurent,lingere,3
montee de st laurent,marchand,6
montee de st laurent,menuisier,3
montee de st laurent,perruquier,2
montee de st laurent,proprietaire,2
montee de st laurent,rentier,3
montee de st laurent,tailleur,4
montee de st laurent,tient ecole,2
montee de st laurent,tonnelier,2
montee de st laurent,traiteur,2
montee de st laurent,vendeur,2
taulau?,proprietaire,7
villamont maison de maitres,rentier,6
verdonnet,laboureur,3
bois-gentil,proprietaire,3
bois-gentil,tuilier,2
pontaise,proprietaire,3
madeleine,marchand,10
madeleine,peintre,2
madeleine,rentier,6
madeleine,sans vocation,5
madeleine,serrurier,2
madeleine,vendeur,2
madeleine,voiturier,2
boston,rentier,2
loup,tuilier,3
vernand,agriculteur,2
rue de l'ale,agriculteur,2
rue de l'ale,carrier,2
rue de l'ale,charpentier,8
rue de l'ale,charretier,2
rue de l'ale,charron,3
rue de l'ale,cordonnier,2
rue de l'ale,fileur,4
rue de l'ale,fontenier,3
rue de l'ale,garde,5
rue de l'ale,gypseur,2
rue de l'ale,jardinier,6
rue de l'ale,journalier,18
rue de l'ale,laboureur,3
rue de l'ale,macon,3
rue de l'ale,manoeuvre,4
rue de l'ale,marchand,10
rue de l'ale,marechal-ferrant,2
rue de l'ale,menuisier,5
rue de l'ale,ouvrier,7
rue de l'ale,rentier,7
rue de l'ale,sans vocation,2
rue de l'ale,serrurier,3
rue de l'ale,tisserand,2
rue de l'ale,tourneur,2
rue de l'ale,vigneron,27
rue de l'ale,voiturier,2
bellevue,fermier,2
bellevue,rentier,2
rue de st pierre,aubergiste,2
rue de st pierre,boulanger,3
rue de st pierre,confiseur,2
rue de st pierre,conseiller d'etat,2
rue de st pierre,cordonnier,5
rue de st pierre,docteur,3
rue de st pierre,gypseur,3
rue de st pierre,journalier,3
rue de st pierre,libraire,2
rue de st pierre,lingere,2
rue de st pierre,maitre,2
rue de st pierre,marchand,10
rue de st pierre,negociant,5
rue de st pierre,rentier,41
rue de st pierre,sellier,3
rue de st pierre,tailleur,11
rue de st pierre,voiturier,3
chalet a marin,agriculteur,2
petit clos,rentier,2
petit clos,vigneron,2
bel-air,fermier,2
grotte,jardinier,2
grotte,locataire,2
grotte,negociant,2
grotte,rentier,9
rue d'etraz,avocat,2
rue d'etraz,charpentier,2
rue d'etraz,charron,2
rue d'etraz,cordonnier,2
rue d'etraz,femme de menage,2
rue d'etraz,gypseur,2
rue d'etraz,jardinier,2
rue d'etraz,journalier,8
rue d'etraz,lingere,3
rue d'etraz,maitre,2
rue d'etraz,marchand,3
rue d'etraz,menuisier,2
rue d'etraz,pintier,3
rue d'etraz,rentier,20
rue d'etraz,vigneron,6
rue d'etraz,voiturier,3
pont des sauge,agriculteur,2
pont des sauge,proprietaire,2
chailly,agriculteur,2
chailly,carrier,4
chailly,fermier,2
chailly,journalier,6
chailly,laboureur,7
chailly,tisserand,2
chailly,vigneron,3
maupas,charpentier,2
maupas,jardinier,3
maupas,journalier,2
maupas,rentier,7
ecole de charite,instituteur,4
contigny,vigneron,2
