Nom_rue,X,Y
derriere l hale de st laurent,6.6279121900,46.5229198700
au pas des anes,6.6311086280,46.5206973100
rue de la mercerie,6.6340649440,46.5217536600
au bugnon,6.6423376590,46.5223135000
en couvaloup,6.6377926670,46.5236876500
a mon repos,6.6437342980,46.5194551300
rue du grand chene,6.6312874210,46.5196972600
faubourg de la barre,6.6359298060,46.5250394300
chemin neuf,6.6351530690,46.5248879300
derriere le chateau,6.6348266230,46.5244809200
en georgette,6.6367202140,46.5173378500
la caroline,6.6378305760,46.5213881400
chemin du moulin,6.6367940210,46.5259552700
chemin des eaux,6.6371066400,46.5263051600
le vallentin,6.6329199560,46.5250222200
ruelle de st pierre,6.6370209240,46.5201978400
place du pont,6.6335615790,46.5209536100
rue du pont,6.6333263400,46.5213173000
place de la palud,6.6328293640,46.5219750600
rue de la madelaine,6.6330170410,46.5224182800
Rue des escaliers du marche,6.6339824420,46.5223116800
Sus le cret,6.6341065120,46.5222236300
place de la riponne,6.6322668060,46.5230971500
montee de st laurent,6.6312948920,46.5223401100
placette de st jean,6.6311060800,46.5217969400
rue du grand st jean,6.6313669360,46.5214596100
en pepinet,6.6323144120,46.5211735200
rue du petit st jean,6.6330036200,46.5210513800
derriere les chenaux,6.6352620900,46.5210305500
rue du pre,6.6350051110,46.5209479300
rue de chaucrau,6.6308596940,46.5227805400
la madelaine,6.6337900690,46.5239197300
rue de la cite devant,6.6352804630,46.5235293900
rue de la cite derriere,6.6360968190,46.5234991300
rue de st etienne,6.6351401800,46.5219890400
rue de l hopital,6.6352459870,46.5216038200
en st etienne,6.6355310820,46.5218911900
cite dessous,6.6358066980,46.5219014000
st etienne,6.6356671300,46.5221429500
sur st mauv,6.6356375970,46.5223349900
rue de la cite derriere,6.6362892990,46.5224090200
place du college,6.6349677930,46.5234360300
le chemin neuf,6.6340592500,46.5243719800
ruelle publique,6.6358304660,46.5203130600
rue de bourg,6.6351846250,46.5200142900
place de st francois,6.6334230900,46.5199226900
chemin public,6.6288831040,46.5236908000
rue cheneau de bourg,6.6363831020,46.5204333500
au rotillon,6.6342823400,46.5206610600
derriere la rue du pre,6.6346840230,46.5207068000
descente de st pepinet,6.6322336550,46.5201670200
montee de st francois,6.6338622900,46.5205010300
place de st laurent,6.6306078380,46.5222965700
rue de st laurent,6.6301509540,46.5227384700
chemin de derriere les terraux,6.6313772190,46.5210332700
derriere st laurent,6.6291639490,46.5225071200
rue de l hale de st laurent,6.6284702990,46.5234514700
route de lausanne,6.6247669520,46.5235975200
derriere l halle de st laurent,6.6286866750,46.5239857500
pre du marche,6.6292384320,46.5246698300
derriere chaucrau,6.6312731930,46.5240257000
chemin derriere bourg,6.6355770860,46.5191503800
rue de st pierre,6.6368098020,46.5196887200
rue de martheray,6.6379360200,46.5201570400
rue d etraz,6.6380487590,46.5193996600
chemin derriere etraz,6.6382469300,46.5190485700
chemin public dit de georgette,6.6381267790,46.5169763600
chemin de georgette,6.6384388590,46.5172353800
chemin public de lausanne a oron,6.6448224530,46.5212534100
route de coppet,6.6410256890,46.5235413700
chemin de couvaloup,6.6372790660,46.5222356300
escalier de la caroline,6.6370102610,46.5207147600
a ouchy,6.6268714150,46.5076235900
rue de marterey,6.6380406840,46.5202434700
rue de l'ale,6.6285060860,46.5234418000
a cour,6.6241991640,46.5115202100
a chailly,6.6544386960,46.5221955300
au maupas,6.6274284540,46.5256728100
a la sallaz,6.6481825070,46.5309527800
en vennes,6.6555928860,46.5408074000
rue du petit chene,6.6319663110,46.5192689000
