Source,Target,Weight
ale,argovie (canton),1
ale,ballaigues,3
ale,berne (canton),2
ale,bullet,1
ale,bussigny-pres-lausanne,1
ale,chardonne,2
ale,chateau-d'oex,2
ale,chexbres,1
ale,corporation,4
ale,corporation francaise,1
ale,corporation vaudoise,5
ale,cossonay,2
ale,crissier,1
ale,daillens,1
ale,duillier,3
ale,echichens,4
ale,epalinges,4
ale,france,1
ale,froideville,4
ale,geneve,1
ale,guggisberg,1
ale,jouxtens-mezery,1
ale,juriens,2
ale,l'isle,2
ale,la tour-de-peilz,1
ale,lausanne,20
ale,le lieu,1
ale,le mont-sur-lausanne,5
ale,lutry,8
ale,maracon,1
ale,montaubion-chardonney,2
ale,montreux,1
ale,moudon,2
ale,ormont-dessus,1
ale,oulens-sous-echallens,4
ale,paudex,2
ale,peney-le-jorat,1
ale,prilly,2
ale,pully,1
ale,renens,6
ale,romanel-sur-lausanne,3
ale,rougemont,4
ale,sainte-croix,2
ale,savigny,2
ale,vaulion,1
ale,villars-tiercelin,3
ale,vuarrens,2
ale,vulliens,2
ale,yverdon,1
barre,allaman,1
barre,angleterre,1
barre,aubonne,2
barre,berne (canton),7
barre,bullet,2
barre,bussigny-pres-lausanne,1
barre,corporation,3
barre,corporation francaise,2
barre,corporation vaudoise,1
barre,crissier,1
barre,daillens,1
barre,echichens,1
barre,epalinges,3
barre,essertines-sur-yverdon,3
barre,france,2
barre,froideville,1
barre,gessenay,1
barre,l'abbaye,4
barre,la tour-de-peilz,1
barre,lausanne,16
barre,le mont-sur-lausanne,1
barre,lutry,5
barre,maracon,1
barre,moudon,3
barre,orbe,1
barre,prilly,1
barre,pully,7
barre,saint-saphorin,2
barre,sainte-croix,1
barre,seedorf,1
barre,thurgovie (canton),1
barre,tolochenaz,1
barre,vallorbe,1
barre,vevey,5
barre,vuarrens,1
barre,zurich (canton),3
bourg,angleterre,2
bourg,aubonne,1
bourg,ballaigues,1
bourg,belmont-sur-lausanne,1
bourg,bullet,1
bourg,chardonne,1
bourg,chexbres,2
bourg,corporation francaise,4
bourg,corporation vaudoise,1
bourg,daillens,3
bourg,echichens,1
bourg,epalinges,1
bourg,france,1
bourg,geneve,1
bourg,gessenay,1
bourg,l'abbaye,1
bourg,l'isle,3
bourg,la tour-de-peilz,1
bourg,lausanne,32
bourg,lavigny,5
bourg,le chenit,1
bourg,lutry,4
bourg,morges,2
bourg,nyon,2
bourg,orbe,1
bourg,oulens-sous-echallens,1
bourg,rolle,3
bourg,rougemont,1
bourg,thurgovie (canton),2
bourg,vallorbe,1
bourg,villette,1
bourg,vulliens,1
bourg,zurich (canton),1
calvaire,lausanne,1
calvaire,nyon,1
calvaire,saint-saphorin,2
calvaire,vaulion,1
chailly,belmont-sur-lausanne,1
chailly,chexbres,1
chailly,corporation francaise,1
chailly,epalinges,1
chailly,essertines-sur-yverdon,4
chailly,guggisberg,1
chailly,l'isle,2
chailly,la vallee de joux,1
chailly,lausanne,12
chailly,peney-le-jorat,1
chailly,pully,1
chailly,seedorf,2
chaucrau,argovie (canton),2
chaucrau,ballaigues,2
chaucrau,belmont-sur-lausanne,1
chaucrau,bottens,1
chaucrau,bullet,1
chaucrau,chateau-d'oex,1
chaucrau,corporation,1
chaucrau,corporation francaise,4
chaucrau,epalinges,2
chaucrau,france,1
chaucrau,froideville,2
chaucrau,geneve,1
chaucrau,jouxtens-mezery,1
chaucrau,lausanne,16
chaucrau,lutry,9
chaucrau,maracon,1
chaucrau,montaubion-chardonney,2
chaucrau,ormont-dessus,1
chaucrau,peney-le-jorat,1
chaucrau,pizy,1
chaucrau,renens,3
chaucrau,rolle,1
chaucrau,saint-saphorin,2
chaucrau,sainte-croix,1
chaucrau,seedorf,1
chaucrau,vaulion,3
chaucrau,villars-tiercelin,1
chaucrau,vuarrens,1
chaucrau,yverdon,1
chauderon,epalinges,4
chauderon,la vallee de joux,1
chauderon,lausanne,1
chavannes,corporation francaise,1
chavannes,epalinges,1
chavannes,lausanne,3
chavannes,peney-le-jorat,2
chavannes,seedorf,1
cheneau de bourg,allaman,2
cheneau de bourg,argovie (canton),1
cheneau de bourg,belmont-sur-lausanne,1
cheneau de bourg,berne (canton),1
cheneau de bourg,bottens,3
cheneau de bourg,bullet,1
cheneau de bourg,coinsins,2
cheneau de bourg,corporation francaise,2
cheneau de bourg,corporation vaudoise,3
cheneau de bourg,corsier-sur-vevey,1
cheneau de bourg,cossonay,1
cheneau de bourg,crissier,1
cheneau de bourg,cully,2
cheneau de bourg,daillens,2
cheneau de bourg,duillier,2
cheneau de bourg,echichens,3
cheneau de bourg,epalinges,3
cheneau de bourg,etagnieres,2
cheneau de bourg,gessenay,1
cheneau de bourg,guggisberg,2
cheneau de bourg,l'abbaye,1
cheneau de bourg,l'isle,1
cheneau de bourg,la vallee de joux,1
cheneau de bourg,lausanne,20
cheneau de bourg,lavigny,1
cheneau de bourg,le chenit,2
cheneau de bourg,le mont-sur-lausanne,3
cheneau de bourg,lutry,3
cheneau de bourg,morges,1
cheneau de bourg,orbe,1
cheneau de bourg,oulens-sous-echallens,4
cheneau de bourg,paudex,1
cheneau de bourg,pizy,1
cheneau de bourg,rolle,2
cheneau de bourg,rougemont,2
cheneau de bourg,saint-saphorin,1
cheneau de bourg,sainte-croix,5
cheneau de bourg,seedorf,1
cheneau de bourg,tolochenaz,1
cheneau de bourg,vuarrens,1
cheneau de bourg,vulliens,1
cite derriere,allaman,1
cite derriere,argovie (canton),1
cite derriere,aubonne,1
cite derriere,belmont-sur-lausanne,1
cite derriere,berne (canton),4
cite derriere,bussigny-pres-lausanne,2
cite derriere,chateau-d'oex,3
cite derriere,chexbres,1
cite derriere,corporation francaise,1
cite derriere,corsier-sur-vevey,2
cite derriere,crissier,1
cite derriere,daillens,1
cite derriere,epalinges,3
cite derriere,essertines-sur-yverdon,2
cite derriere,juriens,1
cite derriere,l'abbaye,4
cite derriere,lausanne,19
cite derriere,le chenit,2
cite derriere,le lieu,1
cite derriere,le mont-sur-lausanne,5
cite derriere,lutry,3
cite derriere,montaubion-chardonney,3
