Id,Label,Type,Size
ale,ale,road,1
barre,barre,road,1
bourg,bourg,road,1
calvaire,calvaire,road,1
chailly,chailly,road,1
chaucrau,chaucrau,road,1
chauderon,chauderon,road,1
chavannes,chavannes,road,1
cheneau de bourg,cheneau de bourg,road,1
cite derriere,cite derriere,road,1
cite dessous,cite dessous,road,1
cite devant,cite devant,road,1
cour,cour,road,1
derriere les terreaux,derriere les terreaux,road,1
escaliers du marche,escaliers du marche,road,1
etraz,etraz,road,1
grand chene,grand chene,road,1
grand st jean,grand st jean,road,1
grange-neuve,grange-neuve,road,1
grotte,grotte,road,1
la sallaz,la sallaz,road,1
madeleine,madeleine,road,1
marterey,marterey,road,1
maupas,maupas,road,1
mercerie,mercerie,road,1
montee de st laurent,montee de st laurent,road,1
montee st francois,montee st francois,road,1
moulin de pepinet,moulin de pepinet,road,1
ouchy,ouchy,road,1
palud,palud,road,1
petit chene,petit chene,road,1
petit singe,petit singe,road,1
petit st jean,petit st jean,road,1
place du pont,place du pont,road,1
place st francois,place st francois,road,1
rue de l'hopital,rue de l'hopital,road,1
rue du pont,rue du pont,road,1
rue du pre,rue du pre,road,1
st etienne,st etienne,road,1
st francois,st francois,road,1
st laurent,st laurent,road,1
st pierre,st pierre,road,1
vennes,vennes,road,1
argovie (canton),argovie (canton),origin,11
ballaigues,ballaigues,origin,8
berne (canton),berne (canton),origin,47
bullet,bullet,origin,11
bussigny-pres-lausanne,bussigny-pres-lausanne,origin,9
chardonne,chardonne,origin,11
chateau-d'oex,chateau-d'oex,origin,19
chexbres,chexbres,origin,15
corporation,corporation,origin,17
corporation francaise,corporation francaise,origin,65
corporation vaudoise,corporation vaudoise,origin,32
cossonay,cossonay,origin,13
crissier,crissier,origin,11
daillens,daillens,origin,17
duillier,duillier,origin,12
echichens,echichens,origin,25
epalinges,epalinges,origin,58
france,france,origin,13
froideville,froideville,origin,15
geneve,geneve,origin,20
guggisberg,guggisberg,origin,15
jouxtens-mezery,jouxtens-mezery,origin,17
juriens,juriens,origin,9
l'isle,l'isle,origin,19
la tour-de-peilz,la tour-de-peilz,origin,9
lausanne,lausanne,origin,553
le lieu,le lieu,origin,14
le mont-sur-lausanne,le mont-sur-lausanne,origin,32
lutry,lutry,origin,98
maracon,maracon,origin,8
montaubion-chardonney,montaubion-chardonney,origin,11
montreux,montreux,origin,12
moudon,moudon,origin,21
ormont-dessus,ormont-dessus,origin,16
oulens-sous-echallens,oulens-sous-echallens,origin,13
paudex,paudex,origin,25
peney-le-jorat,peney-le-jorat,origin,10
prilly,prilly,origin,26
pully,pully,origin,28
renens,renens,origin,22
romanel-sur-lausanne,romanel-sur-lausanne,origin,10
rougemont,rougemont,origin,24
sainte-croix,sainte-croix,origin,30
savigny,savigny,origin,10
vaulion,vaulion,origin,13
villars-tiercelin,villars-tiercelin,origin,9
vuarrens,vuarrens,origin,16
vulliens,vulliens,origin,13
yverdon,yverdon,origin,16
allaman,allaman,origin,11
angleterre,angleterre,origin,22
aubonne,aubonne,origin,16
essertines-sur-yverdon,essertines-sur-yverdon,origin,11
gessenay,gessenay,origin,25
l'abbaye,l'abbaye,origin,21
orbe,orbe,origin,13
saint-saphorin,saint-saphorin,origin,25
seedorf,seedorf,origin,9
thurgovie (canton),thurgovie (canton),origin,11
tolochenaz,tolochenaz,origin,13
vallorbe,vallorbe,origin,9
vevey,vevey,origin,27
zurich (canton),zurich (canton),origin,11
belmont-sur-lausanne,belmont-sur-lausanne,origin,19
lavigny,lavigny,origin,10
le chenit,le chenit,origin,16
morges,morges,origin,14
nyon,nyon,origin,13
rolle,rolle,origin,24
villette,villette,origin,44
la vallee de joux,la vallee de joux,origin,19
bottens,bottens,origin,21
pizy,pizy,origin,12
coinsins,coinsins,origin,14
corsier-sur-vevey,corsier-sur-vevey,origin,12
cully,cully,origin,15
etagnieres,etagnieres,origin,14
bourse francaise,bourse francaise,origin,12
cheseaux-sur-lausanne,cheseaux-sur-lausanne,origin,8
payerne,payerne,origin,11
