Source,Target,Weight
ale,agriculteur,1
ale,aubergiste,1
ale,boulanger,1
ale,carrier,2
ale,charpentier,8
ale,charron,3
ale,cordonnier,2
ale,couturiere,1
ale,ecrivain,1
ale,fileuse,4
ale,garde police,5
ale,gypseur/gypsier,2
ale,huissier,1
ale,jardinier,6
ale,journalier,10
ale,journaliere,8
ale,juge d'appel,1
ale,laboureur,3
ale,laitier,1
ale,lessiveuse,1
ale,macon,3
ale,manœuvre,4
ale,marchand,1
ale,marchande,5
ale,marechal-ferrant,2
ale,menuisier,5
ale,ouvriere,4
ale,rentiere,5
ale,repasseuse,1
ale,sans vocation,2
ale,sellier,1
ale,serrurier,3
ale,tailleur de pierres,1
ale,tailleuse,1
ale,tisserand,2
ale,traiteur,1
ale,vigneron,27
ale,voiturier,1
barre,agriculteur,6
barre,boulanger,1
barre,carrier,2
barre,charpentier,6
barre,cordonnier,2
barre,couturiere,1
barre,couvreur,1
barre,ecrivain,1
barre,fermier,5
barre,garde police,2
barre,instituteur,4
barre,jardinier,1
barre,journalier,8
barre,journaliere,2
barre,lingere,2
barre,macon,11
barre,manœuvre,2
barre,marchand,1
barre,marechal-ferrant,1
barre,medecin,1
barre,menuisier,7
barre,meunier,5
barre,ministre,2
barre,professeur,1
barre,rentier,3
barre,rentiere,3
barre,sans vocation,6
barre,tisserand,1
barre,tonnelier,1
barre,vendeur de vin,2
barre,vigneron,5
bourg,agriculteur,1
bourg,aubergiste,3
bourg,avocat,2
bourg,blanchisseuse,1
bourg,boulanger,2
bourg,cordonnier,3
bourg,domestique,1
bourg,ecrivain,1
bourg,ferblantier,1
bourg,fileuse,1
bourg,garde-malade,1
bourg,huissier,1
bourg,institutrice,2
bourg,journalier,1
bourg,journaliere,1
bourg,libraire,1
bourg,marchand,3
bourg,marchande,3
bourg,medecin,2
bourg,negociant,17
bourg,ouvriere,3
bourg,rentier,16
bourg,rentiere,15
bourg,sellier,2
bourg,tailleur,5
bourg,tailleuse,3
bourg,traiteur,1
bourg,vendeur de vin,1
bourg,voiturier,5
calvaire,charpentier,1
calvaire,cordonnier,1
calvaire,journalier,1
calvaire,laboureur,2
calvaire,rentiere,1
chailly,agriculteur,1
chailly,carrier,4
chailly,cordonnier,1
chailly,fermier,2
chailly,journalier,5
chailly,journaliere,1
chailly,laboureur,7
chailly,laitier,1
chailly,lingere,1
chailly,marechal-ferrant,1
chailly,menuisier,1
chailly,proprietaire,1
chailly,rentiere,1
chailly,tailleur,1
chailly,tisserand,2
chailly,vigneron,3
chaucrau,boulanger,1
chaucrau,charpentier,2
chaucrau,charron,2
chaucrau,cordonnier,2
chaucrau,couvreur,1
chaucrau,ecrivain,1
chaucrau,femme de menage,2
chaucrau,ferblantier,1
chaucrau,fileuse,2
chaucrau,garde police,4
chaucrau,journalier,6
chaucrau,journaliere,4
chaucrau,juge d'appel,2
chaucrau,lingere,3
chaucrau,macon,1
chaucrau,manœuvre,2
chaucrau,marchand,1
chaucrau,marchande,2
chaucrau,menuisier,5
chaucrau,ministre,1
chaucrau,ouvriere,5
chaucrau,rentier,1
chaucrau,tailleur de pierres,4
chaucrau,tailleuse,2
chaucrau,vigneron,8
chaucrau,voiturier,2
chauderon,agriculteur,1
chauderon,charpentier,1
chauderon,journaliere,1
chauderon,laitier,1
chauderon,lessiveuse,1
chauderon,menuisier,1
